# Date and time run: 2023-05-03 09:17:40.117048
# Target Ontology: CL
# Text2term version: 2.1.0
# Minimum Score: 0.30
# Mapper: tfidf
# Base IRIs: http://purl.obolibrary.org/obo/CL
# Max Mappings: 3
# Depricated Terms Included
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score
http://ccb.hms.harvard.edu/t2t/RG526wgKxSm,Cardiomyocyte,cardiac muscle cell,CL:0000746,http://purl.obolibrary.org/obo/CL_0000746,0.9678234034661551
http://ccb.hms.harvard.edu/t2t/RG526wgKxSm,Cardiomyocyte,fetal cardiomyocyte,CL:0002495,http://purl.obolibrary.org/obo/CL_0002495,0.8158179240750242
http://ccb.hms.harvard.edu/t2t/RG526wgKxSm,Cardiomyocyte,cardiac muscle myoblast,CL:0000513,http://purl.obolibrary.org/obo/CL_0000513,0.7673767146766971
http://ccb.hms.harvard.edu/t2t/R4mDaSNYr5B,endocardial,endocardial cell,CL:0002350,http://purl.obolibrary.org/obo/CL_0002350,0.9663155427292247
http://ccb.hms.harvard.edu/t2t/R4mDaSNYr5B,endocardial,myocardial endocrine cell,CL:0002074,http://purl.obolibrary.org/obo/CL_0002074,0.7415308839865076
http://ccb.hms.harvard.edu/t2t/R4mDaSNYr5B,endocardial,endocardial cushion cell,CL:0008022,http://purl.obolibrary.org/obo/CL_0008022,0.6564279636303657
http://ccb.hms.harvard.edu/t2t/RKYf35iCXwU,endothelial,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,0.9502267417760379
http://ccb.hms.harvard.edu/t2t/RKYf35iCXwU,endothelial,endothelial cell of high endothelial venule,CL:0002652,http://purl.obolibrary.org/obo/CL_0002652,0.771357995781269
http://ccb.hms.harvard.edu/t2t/RKYf35iCXwU,endothelial,endocardial cell,CL:0002350,http://purl.obolibrary.org/obo/CL_0002350,0.734660146828856
http://ccb.hms.harvard.edu/t2t/RHBZr7nwdUx,neuronal,neural stem cell,CL:0000047,http://purl.obolibrary.org/obo/CL_0000047,0.7457615012652901
http://ccb.hms.harvard.edu/t2t/RHBZr7nwdUx,neuronal,neuron,CL:0000540,http://purl.obolibrary.org/obo/CL_0000540,0.7255036354481648
http://ccb.hms.harvard.edu/t2t/RHBZr7nwdUx,neuronal,neuronal receptor cell,CL:0000006,http://purl.obolibrary.org/obo/CL_0000006,0.6083793962467728
http://ccb.hms.harvard.edu/t2t/R4torhoFhvY,mast cell,mast cell,CL:0000097,http://purl.obolibrary.org/obo/CL_0000097,0.923026805068729
http://ccb.hms.harvard.edu/t2t/R4torhoFhvY,mast cell,mucosal type mast cell,CL:0000485,http://purl.obolibrary.org/obo/CL_0000485,0.635247397627387
http://ccb.hms.harvard.edu/t2t/R4torhoFhvY,mast cell,cell,CL:0000000,http://purl.obolibrary.org/obo/CL_0000000,0.5969322115716527
http://ccb.hms.harvard.edu/t2t/RJhWwnGw7CR,activated fibroblast,mature astrocyte,CL:0002627,http://purl.obolibrary.org/obo/CL_0002627,0.6237099335859676
http://ccb.hms.harvard.edu/t2t/RJhWwnGw7CR,activated fibroblast,fibroblast,CL:0000057,http://purl.obolibrary.org/obo/CL_0000057,0.6114849112978168
http://ccb.hms.harvard.edu/t2t/RJhWwnGw7CR,activated fibroblast,"activated CD8-positive, alpha-beta T cell, human",CL:0001049,http://purl.obolibrary.org/obo/CL_0001049,0.5968903099863736
http://ccb.hms.harvard.edu/t2t/RJT6YjJcLEt,proliferating macrophage,macrophage,CL:0000235,http://purl.obolibrary.org/obo/CL_0000235,0.6536233256478142
http://ccb.hms.harvard.edu/t2t/RJT6YjJcLEt,proliferating macrophage,lung macrophage,CL:1001603,http://purl.obolibrary.org/obo/CL_1001603,0.5533300873282195
http://ccb.hms.harvard.edu/t2t/RJT6YjJcLEt,proliferating macrophage,inflammatory macrophage,CL:0000863,http://purl.obolibrary.org/obo/CL_0000863,0.5361500623087697
http://ccb.hms.harvard.edu/t2t/REsQshT9isr,adipocyte,fat cell,CL:0000136,http://purl.obolibrary.org/obo/CL_0000136,0.9838197582307294
http://ccb.hms.harvard.edu/t2t/REsQshT9isr,adipocyte,beige adipocyte,CL:0001070,http://purl.obolibrary.org/obo/CL_0001070,0.7643863758019548
http://ccb.hms.harvard.edu/t2t/REsQshT9isr,adipocyte,adipocyte of breast,CL:0002617,http://purl.obolibrary.org/obo/CL_0002617,0.7052728254178271
http://ccb.hms.harvard.edu/t2t/RKnCXiq4hXA,lymphocyte,lymphocyte,CL:0000542,http://purl.obolibrary.org/obo/CL_0000542,0.9922794632214762
http://ccb.hms.harvard.edu/t2t/RKnCXiq4hXA,lymphocyte,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,0.9284764084361595
http://ccb.hms.harvard.edu/t2t/RKnCXiq4hXA,lymphocyte,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,0.9179547591780294
http://ccb.hms.harvard.edu/t2t/RK827dZrwKS,pericyte,pericyte,CL:0000669,http://purl.obolibrary.org/obo/CL_0000669,0.9712133069455978
http://ccb.hms.harvard.edu/t2t/RK827dZrwKS,pericyte,lung pericyte,CL:0009089,http://purl.obolibrary.org/obo/CL_0009089,0.7302763405910846
http://ccb.hms.harvard.edu/t2t/RK827dZrwKS,pericyte,brain pericyte,CL:2000043,http://purl.obolibrary.org/obo/CL_2000043,0.6867080895876954
http://ccb.hms.harvard.edu/t2t/REcd6Doqcs5,vsmc,vascular associated smooth muscle cell,CL:0000359,http://purl.obolibrary.org/obo/CL_0000359,0.9990473368448443
http://ccb.hms.harvard.edu/t2t/R8GoF4mT7zw,VentricularCardiomyocyte,regular ventricular cardiac myocyte,CL:0002131,http://purl.obolibrary.org/obo/CL_0002131,0.7733533089474837
http://ccb.hms.harvard.edu/t2t/R8GoF4mT7zw,VentricularCardiomyocyte,regular interventricular cardiac myocyte,CL:0002100,http://purl.obolibrary.org/obo/CL_0002100,0.5798301270768561
http://ccb.hms.harvard.edu/t2t/R8GoF4mT7zw,VentricularCardiomyocyte,ventricular cardiac muscle cell,CL:2000046,http://purl.obolibrary.org/obo/CL_2000046,0.5656434073170913
http://ccb.hms.harvard.edu/t2t/RC5jzGfefeT,Endothelial,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,0.9502267417760379
http://ccb.hms.harvard.edu/t2t/RC5jzGfefeT,Endothelial,endothelial cell of high endothelial venule,CL:0002652,http://purl.obolibrary.org/obo/CL_0002652,0.771357995781269
