# Date and time run: 2023-04-19 17:00:54.966937
# Target Ontology: CL
# Text2term version: 2.1.0
# Minimum Score: 0.30
# Mapper: tfidf
# Base IRIs: ()
# Max Mappings: 3
# Depricated Terms Included
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score
http://ccb.hms.harvard.edu/t2t/R57ymGU32pa,Cardiomyocyte,cardiac muscle cell,CL:0000746,http://purl.obolibrary.org/obo/CL_0000746,0.9730630156318921
http://ccb.hms.harvard.edu/t2t/R57ymGU32pa,Cardiomyocyte,SA node cell to atrial cardiac muscle cell signaling,GO:0086018,http://purl.obolibrary.org/obo/GO_0086018,0.8408841043218842
http://ccb.hms.harvard.edu/t2t/R57ymGU32pa,Cardiomyocyte,SA node cell to atrial cardiac muscle cell communication,GO:0086070,http://purl.obolibrary.org/obo/GO_0086070,0.8344984603989188
http://ccb.hms.harvard.edu/t2t/RcyLqWGtpry,endocardial,endocardial cell,CL:0002350,http://purl.obolibrary.org/obo/CL_0002350,0.9363962597320288
http://ccb.hms.harvard.edu/t2t/RcyLqWGtpry,endocardial,heart tube,UBERON:0004141,http://purl.obolibrary.org/obo/UBERON_0004141,0.8071486561631422
http://ccb.hms.harvard.edu/t2t/RcyLqWGtpry,endocardial,endocardium,UBERON:0002165,http://purl.obolibrary.org/obo/UBERON_0002165,0.7957253834309591
http://ccb.hms.harvard.edu/t2t/R9SzHsh5Q5X,endothelial,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,0.9245640922886782
http://ccb.hms.harvard.edu/t2t/R9SzHsh5Q5X,endothelial,cardiovascular system endothelium,UBERON:0004852,http://purl.obolibrary.org/obo/UBERON_0004852,0.8588779774876678
http://ccb.hms.harvard.edu/t2t/R9SzHsh5Q5X,endothelial,endothelial cell of high endothelial venule,CL:0002652,http://purl.obolibrary.org/obo/CL_0002652,0.8234234141108565
http://ccb.hms.harvard.edu/t2t/RA3pdMeDgwo,neuronal,neuron,CL:0000540,http://purl.obolibrary.org/obo/CL_0000540,0.7660900169264903
http://ccb.hms.harvard.edu/t2t/RA3pdMeDgwo,neuronal,neural stem cell,CL:0000047,http://purl.obolibrary.org/obo/CL_0000047,0.7421690155001155
